age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,net_capital,has_capital_gain,has_capital_loss,work_intensity,is_full_time
32.0,Private,14.0,Separated,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,55.0,United-States,>50K,-2824.0,0,1,1.375,1
51.0,Private,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K,-2824.0,0,1,1.0,1
46.0,Private,15.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K,-2824.0,0,1,1.0,1
45.0,Private,7.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,2824.0,76.0,United-States,>50K,-2824.0,0,1,1.9,1
57.0,Private,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,50.0,United-States,>50K,-2824.0,0,1,1.25,1
22.0,Private,12.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,2824.0,40.0,United-States,>50K,-2824.0,0,1,1.0,1
34.0,Private,13.0,Separated,Sales,Not-in-family,White,Male,0.0,2824.0,50.0,United-States,>50K,-2824.0,0,1,1.25,1
37.0,Private,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,2824.0,40.0,United-States,>50K,-2824.0,0,1,1.0,1
29.0,Private,7.0,Separated,Sales,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,<=50K,-2754.0,0,1,1.05,1
61.0,Private,9.0,Divorced,Sales,Unmarried,White,Female,0.0,2754.0,25.0,United-States,<=50K,-2754.0,0,1,0.625,0
51.0,Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2603.0,40.0,United-States,<=50K,-2603.0,0,1,1.0,1
61.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2603.0,32.0,United-States,<=50K,-2603.0,0,1,0.8,0
21.0,Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2603.0,40.0,United-States,<=50K,-2603.0,0,1,1.0,1
33.0,Private,2.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,2603.0,32.0,Mexico,<=50K,-2603.0,0,1,0.8,0
49.0,Private,3.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,2603.0,40.0,Greece,<=50K,-2603.0,0,1,1.0,1
37.0,Self-emp-inc,6.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,2559.0,50.0,United-States,>50K,-2559.0,0,1,1.25,1
38.0,Private,6.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2559.0,90.0,United-States,>50K,-2559.0,0,1,2.25,1
23.0,Private,10.0,Separated,Other-service,Not-in-family,White,Male,0.0,2559.0,40.0,United-States,>50K,-2559.0,0,1,1.0,1
59.0,Self-emp-inc,6.0,Widowed,Exec-managerial,Unmarried,White,Female,0.0,2559.0,50.0,United-States,>50K,-2559.0,0,1,1.25,1
52.0,Private,15.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2559.0,60.0,United-States,>50K,-2559.0,0,1,1.5,1
51.0,Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2559.0,50.0,United-States,>50K,-2559.0,0,1,1.25,1
60.0,Self-emp-not-inc,9.0,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,2559.0,50.0,United-States,>50K,-2559.0,0,1,1.25,1
63.0,Federal-gov,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,>50K,-2559.0,0,1,1.5,1
53.0,Private,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,2559.0,48.0,United-States,>50K,-2559.0,0,1,1.2,1
51.0,Private,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,50.0,United-States,>50K,-2559.0,0,1,1.25,1
37.0,Self-emp-not-inc,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,>50K,-2559.0,0,1,1.5,1
54.0,Private,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,40.0,United-States,>50K,-2559.0,0,1,1.0,1
44.0,Private,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,2547.0,50.0,United-States,>50K,-2547.0,0,1,1.25,1
43.0,Private,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K,-2547.0,0,1,1.0,1
51.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K,-2547.0,0,1,1.0,1
43.0,Private,14.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,2547.0,40.0,United-States,>50K,-2547.0,0,1,1.0,1
71.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2489.0,15.0,United-States,<=50K,-2489.0,0,1,0.375,0
48.0,Private,13.0,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,2472.0,70.0,United-States,>50K,-2472.0,0,1,1.75,1
71.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2467.0,52.0,United-States,<=50K,-2467.0,0,1,1.3,1
73.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0.0,2457.0,40.0,Vietnam,<=50K,-2457.0,0,1,1.0,1
68.0,Private,10.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,2457.0,40.0,United-States,<=50K,-2457.0,0,1,1.0,1
67.0,Private,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2457.0,40.0,United-States,<=50K,-2457.0,0,1,1.0,1
40.0,Self-emp-not-inc,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2444.0,45.0,United-States,>50K,-2444.0,0,1,1.125,1
50.0,Private,9.0,Widowed,Sales,Not-in-family,White,Female,0.0,2444.0,72.0,United-States,>50K,-2444.0,0,1,1.8,1
51.0,State-gov,11.0,Divorced,Tech-support,Not-in-family,White,Male,0.0,2444.0,39.0,United-States,>50K,-2444.0,0,1,0.975,1
42.0,Private,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,2444.0,40.0,United-States,>50K,-2444.0,0,1,1.0,1
39.0,Private,14.0,Never-married,Sales,Not-in-family,White,Male,0.0,2444.0,45.0,United-States,>50K,-2444.0,0,1,1.125,1
32.0,Private,13.0,Never-married,Exec-managerial,Other-relative,White,Male,0.0,2444.0,50.0,United-States,>50K,-2444.0,0,1,1.25,1
53.0,Private,10.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,2444.0,45.0,United-States,>50K,-2444.0,0,1,1.125,1
40.0,Local-gov,10.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,2444.0,40.0,United-States,>50K,-2444.0,0,1,1.0,1
38.0,Private,13.0,Never-married,Sales,Not-in-family,White,Female,0.0,2444.0,45.0,United-States,>50K,-2444.0,0,1,1.125,1
33.0,Private,11.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,2444.0,42.0,United-States,>50K,-2444.0,0,1,1.05,1
43.0,Private,12.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,2444.0,70.0,United-States,>50K,-2444.0,0,1,1.75,1
50.0,Self-emp-inc,7.0,Never-married,Exec-managerial,Other-relative,White,Male,0.0,2444.0,40.0,United-States,>50K,-2444.0,0,1,1.0,1
44.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,2415.0,6.0,United-States,>50K,-2415.0,0,1,0.15,0
51.0,Self-emp-not-inc,13.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,2415.0,40.0,China,>50K,-2415.0,0,1,1.0,1
41.0,Private,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
60.0,Self-emp-inc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,2415.0,70.0,United-States,>50K,-2415.0,0,1,1.75,1
37.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
55.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,35.0,Greece,>50K,-2415.0,0,1,0.875,1
39.0,Self-emp-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
42.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
49.0,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
47.0,Self-emp-not-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
41.0,Local-gov,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K,-2415.0,0,1,1.125,1
55.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
39.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,2415.0,65.0,United-States,>50K,-2415.0,0,1,1.625,1
42.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
41.0,Private,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,12.0,United-States,>50K,-2415.0,0,1,0.3,0
46.0,Private,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,65.0,United-States,>50K,-2415.0,0,1,1.625,1
40.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K,-2415.0,0,1,1.125,1
32.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,48.0,United-States,>50K,-2415.0,0,1,1.2,1
41.0,Self-emp-inc,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
60.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,80.0,United-States,>50K,-2415.0,0,1,2.0,1
31.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,70.0,Taiwan,>50K,-2415.0,0,1,1.75,1
58.0,Self-emp-not-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
37.0,Self-emp-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
44.0,Self-emp-not-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
39.0,Self-emp-not-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
43.0,Federal-gov,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
55.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
44.0,Self-emp-inc,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
39.0,Private,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,2415.0,67.0,India,>50K,-2415.0,0,1,1.675,1
46.0,Self-emp-not-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
39.0,Private,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2415.0,99.0,United-States,>50K,-2415.0,0,1,2.475,1
62.0,Self-emp-inc,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
31.0,Self-emp-not-inc,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
46.0,Private,13.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,2415.0,35.0,Philippines,>50K,-2415.0,0,1,0.875,1
46.0,Self-emp-not-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,80.0,United-States,>50K,-2415.0,0,1,2.0,1
39.0,Self-emp-inc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
39.0,Private,15.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,99.0,United-States,>50K,-2415.0,0,1,2.475,1
59.0,Private,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K,-2415.0,0,1,1.125,1
50.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
46.0,Private,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
53.0,Self-emp-not-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,40.0,United-States,>50K,-2415.0,0,1,1.0,1
50.0,Self-emp-not-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,30.0,United-States,>50K,-2415.0,0,1,0.75,0
41.0,Self-emp-inc,15.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,2415.0,55.0,United-States,>50K,-2415.0,0,1,1.375,1
36.0,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K,-2415.0,0,1,1.125,1
38.0,Private,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,90.0,United-States,>50K,-2415.0,0,1,2.25,1
54.0,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2415.0,50.0,United-States,>50K,-2415.0,0,1,1.25,1
50.0,Private,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,2415.0,20.0,United-States,>50K,-2415.0,0,1,0.5,0
47.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,>50K,-2415.0,0,1,1.5,1
47.0,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,45.0,United-States,>50K,-2415.0,0,1,1.125,1
67.0,Private,13.0,Widowed,Exec-managerial,Not-in-family,White,Male,0.0,2392.0,40.0,United-States,>50K,-2392.0,0,1,1.0,1
67.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,75.0,United-States,>50K,-2392.0,0,1,1.875,1
72.0,Self-emp-not-inc,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2392.0,25.0,United-States,>50K,-2392.0,0,1,0.625,0
72.0,Private,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2392.0,6.0,United-States,>50K,-2392.0,0,1,0.15,0
46.0,Self-emp-inc,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,50.0,United-States,>50K,-2392.0,0,1,1.25,1
78.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,40.0,United-States,>50K,-2392.0,0,1,1.0,1
71.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,60.0,United-States,>50K,-2392.0,0,1,1.5,1
83.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,55.0,United-States,>50K,-2392.0,0,1,1.375,1
68.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2392.0,40.0,United-States,>50K,-2392.0,0,1,1.0,1
26.0,Private,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,2377.0,45.0,United-States,<=50K,-2377.0,0,1,1.125,1
68.0,State-gov,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,60.0,United-States,>50K,-2377.0,0,1,1.5,1
49.0,Self-emp-inc,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,2377.0,40.0,United-States,>50K,-2377.0,0,1,1.0,1
36.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,60.0,United-States,<=50K,-2377.0,0,1,1.5,1
70.0,Self-emp-not-inc,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2377.0,12.0,United-States,>50K,-2377.0,0,1,0.3,0
27.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,2377.0,20.0,United-States,<=50K,-2377.0,0,1,0.5,0
35.0,Local-gov,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,40.0,United-States,<=50K,-2377.0,0,1,1.0,1
23.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2377.0,40.0,United-States,<=50K,-2377.0,0,1,1.0,1
81.0,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,26.0,United-States,>50K,-2377.0,0,1,0.65,0
66.0,Self-emp-not-inc,16.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2377.0,25.0,United-States,>50K,-2377.0,0,1,0.625,0
71.0,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,45.0,United-States,>50K,-2377.0,0,1,1.125,1
68.0,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,2377.0,55.0,United-States,>50K,-2377.0,0,1,1.375,1
68.0,State-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,42.0,United-States,>50K,-2377.0,0,1,1.05,1
65.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,40.0,United-States,>50K,-2377.0,0,1,1.0,1
52.0,Private,9.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,2377.0,40.0,United-States,<=50K,-2377.0,0,1,1.0,1
40.0,Self-emp-inc,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2377.0,50.0,United-States,<=50K,-2377.0,0,1,1.25,1
68.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,35.0,United-States,>50K,-2377.0,0,1,0.875,1
21.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,48.0,United-States,<=50K,-2377.0,0,1,1.2,1
35.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2377.0,40.0,United-States,<=50K,-2377.0,0,1,1.0,1
70.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,50.0,United-States,>50K,-2377.0,0,1,1.25,1
61.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2352.0,50.0,United-States,<=50K,-2352.0,0,1,1.25,1
65.0,Self-emp-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,2352.0,65.0,United-States,<=50K,-2352.0,0,1,1.625,1
46.0,Private,3.0,Divorced,Craft-repair,Not-in-family,White,Female,0.0,2339.0,45.0,United-States,<=50K,-2339.0,0,1,1.125,1
26.0,Local-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2339.0,55.0,United-States,<=50K,-2339.0,0,1,1.375,1
59.0,Local-gov,9.0,Widowed,Farming-fishing,Unmarried,White,Male,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
61.0,Private,3.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
60.0,State-gov,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
49.0,Self-emp-inc,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2339.0,50.0,United-States,<=50K,-2339.0,0,1,1.25,1
34.0,Private,13.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
25.0,Private,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,2339.0,35.0,United-States,<=50K,-2339.0,0,1,0.875,1
55.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,2339.0,45.0,United-States,<=50K,-2339.0,0,1,1.125,1
59.0,Local-gov,9.0,Separated,Protective-serv,Other-relative,Black,Female,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
28.0,State-gov,10.0,Separated,Exec-managerial,Own-child,White,Male,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
43.0,Private,11.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,2339.0,36.0,United-States,<=50K,-2339.0,0,1,0.9,1
56.0,Self-emp-not-inc,14.0,Divorced,Sales,Unmarried,White,Female,0.0,2339.0,60.0,United-States,<=50K,-2339.0,0,1,1.5,1
41.0,Private,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,2339.0,40.0,United-States,<=50K,-2339.0,0,1,1.0,1
42.0,Private,9.0,Never-married,Adm-clerical,Other-relative,Black,Female,0.0,2339.0,40.0,Trinadad&Tobago,<=50K,-2339.0,0,1,1.0,1
28.0,Private,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2339.0,40.0,Canada,<=50K,-2339.0,0,1,1.0,1
40.0,Self-emp-not-inc,15.0,Divorced,Other-service,Not-in-family,White,Female,0.0,2339.0,35.0,United-States,<=50K,-2339.0,0,1,0.875,1
69.0,Private,13.0,Widowed,Prof-specialty,Not-in-family,White,Male,0.0,2282.0,40.0,United-States,>50K,-2282.0,0,1,1.0,1
66.0,Local-gov,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2267.0,40.0,United-States,<=50K,-2267.0,0,1,1.0,1
69.0,Private,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,2267.0,40.0,United-States,<=50K,-2267.0,0,1,1.0,1
55.0,Local-gov,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,2267.0,40.0,United-States,<=50K,-2267.0,0,1,1.0,1
57.0,Federal-gov,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,2258.0,40.0,United-States,<=50K,-2258.0,0,1,1.0,1
20.0,Self-emp-not-inc,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,2258.0,10.0,United-States,<=50K,-2258.0,0,1,0.25,0
33.0,Private,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,2258.0,84.0,United-States,<=50K,-2258.0,0,1,2.1,1
30.0,Self-emp-not-inc,10.0,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0.0,2258.0,40.0,South,<=50K,-2258.0,0,1,1.0,1
40.0,Private,13.0,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0.0,2258.0,48.0,Philippines,<=50K,-2258.0,0,1,1.2,1
38.0,Private,10.0,Separated,Machine-op-inspct,Not-in-family,White,Male,0.0,2258.0,55.0,United-States,>50K,-2258.0,0,1,1.375,1
46.0,State-gov,12.0,Divorced,Adm-clerical,Unmarried,White,Male,0.0,2258.0,38.0,United-States,>50K,-2258.0,0,1,0.95,1
29.0,Private,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,2258.0,45.0,United-States,>50K,-2258.0,0,1,1.125,1
57.0,Federal-gov,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,2258.0,40.0,United-States,<=50K,-2258.0,0,1,1.0,1
39.0,Private,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,2258.0,42.0,United-States,>50K,-2258.0,0,1,1.05,1
47.0,Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,2258.0,40.0,United-States,>50K,-2258.0,0,1,1.0,1
26.0,Private,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,2258.0,45.0,United-States,>50K,-2258.0,0,1,1.125,1
27.0,Self-emp-not-inc,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,2258.0,50.0,United-States,<=50K,-2258.0,0,1,1.25,1
23.0,Private,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,2258.0,40.0,United-States,>50K,-2258.0,0,1,1.0,1
34.0,Private,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2258.0,50.0,United-States,<=50K,-2258.0,0,1,1.25,1
33.0,Private,8.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,2258.0,42.0,United-States,<=50K,-2258.0,0,1,1.05,1
38.0,Local-gov,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2258.0,60.0,United-States,<=50K,-2258.0,0,1,1.5,1
57.0,Private,10.0,Widowed,Adm-clerical,Unmarried,White,Female,0.0,2258.0,38.0,United-States,>50K,-2258.0,0,1,0.95,1
